Event No.; Task; Date; Account Name; Account Domain; Logon ID; Logon Type; Workstation Name; Logon Address; Logon Process
12839;Logoff;2017-03-29T01:41:46.897;aduser01;OHMYAD;0x947144;Network;;;
14971;Logon;2017-04-13T01:23:49.970;Administrator;OHMYAD;0x37410;Interactive;WIN-T6I0355NJEA;127.0.0.1;User32
15036;Logon;2017-04-13T01:36:10.768;aduser01;OHMYAD;0xbf982;Network;;192.168.20.151;Kerberos
15039;Logoff;2017-04-13T01:36:45.697;aduser01;OHMYAD;0xbf982;Network;;;
15042;Logon;2017-04-13T01:37:15.118;Administrator;OHMYAD;0xc138c;Network;HELLO-PC;192.168.20.195;NtLmSsp
15044;Logon;2017-04-13T01:37:21.062;ANONYMOUS LOGON;NT AUTHORITY;0xc18a0;Network;HELLO-PC;192.168.20.195;NtLmSsp
15046;Logoff;2017-04-13T01:37:31.217;ANONYMOUS LOGON;NT AUTHORITY;0xc18a0;Network;;;
15122;Logon;2017-04-13T01:49:21.190;ANONYMOUS LOGON;NT AUTHORITY;0xd6e5a;Network;HELLO-PC;192.168.20.195;NtLmSsp
15125;Logoff;2017-04-13T01:49:31.221;ANONYMOUS LOGON;NT AUTHORITY;0xd6e5a;Network;;;
15134;Logoff;2017-04-13T01:52:30.231;Administrator;OHMYAD;0xc138c;Network;;;
15139;Logon;2017-04-13T01:53:29.699;dcadmin;OHMYAD;0xdd428;Network;HELLO-PC;192.168.20.195;NtLmSsp
15174;Logoff;2017-04-13T01:55:49.974;dcadmin;OHMYAD;0xdd428;Network;;;
15207;Logon;2017-04-13T01:59:55.347;dcadmin;OHMYAD;0x10a8db;Network;;192.168.20.195;Kerberos
15208;Logon;2017-04-13T01:59:55.378;dcadmin;OHMYAD;0x10a8f2;Network;;192.168.20.195;Kerberos
15215;Logon;2017-04-13T01:59:56.923;dcadmin;OHMYAD;0x10aaed;Network;;192.168.20.195;Kerberos
15216;Logon;2017-04-13T01:59:57.469;dcadmin;OHMYAD;0x10b555;Network;;192.168.20.195;Kerberos
15217;Logon;2017-04-13T01:59:57.578;dcadmin;OHMYAD;0x10b68d;Network;;192.168.20.195;Kerberos
15219;Logoff;2017-04-13T01:59:57.578;dcadmin;OHMYAD;0x10b68d;Network;;;
15220;Logoff;2017-04-13T01:59:58.327;dcadmin;OHMYAD;0x10b555;Network;;;
15221;Logon;2017-04-13T02:00:03.599;dcadmin;OHMYAD;0x10c6d0;Network;;192.168.20.195;Kerberos
15224;Logoff;2017-04-13T02:00:07.219;dcadmin;OHMYAD;0x10a8f2;Network;;;
15226;Logoff;2017-04-13T02:00:19.215;dcadmin;OHMYAD;0x10c6d0;Network;;;
15227;Logoff;2017-04-13T02:00:28.965;dcadmin;OHMYAD;0x10a8db;Network;;;
15233;Logon;2017-04-13T02:01:21.319;ANONYMOUS LOGON;NT AUTHORITY;0x110e96;Network;HELLO-PC;192.168.20.195;NtLmSsp
15239;Logoff;2017-04-13T02:01:37.215;ANONYMOUS LOGON;NT AUTHORITY;0x110e96;Network;;;

